No.,x,y,Power (MW),std dev.
0,0,-4,1.79212751001107,2.77131675318243E-05
1,1,-4,1.82041791735926,2.77993451592032E-05
2,2,-4,1.85117684375222,2.55201309436422E-05
3,3,-4,1.87780392709567,2.95281720412683E-05
4,4,-4,1.89973053137413,3.0708036647981E-05
5,-1,-3,1.82698506283316,2.70274882391189E-05
6,0,-3,1.85465548829463,2.67632402252719E-05
7,1,-3,1.89140895640569,2.60835444420232E-05
8,2,-3,1.93988390745798,2.31334263001096E-05
9,3,-3,1.95042117526547,2.40848484681093E-05
10,4,-3,1.89762820357642,2.59493392259155E-05
11,-2,-2,1.78536785532082,2.89726232249835E-05
12,-1,-2,1.8933939877407,2.50218501912142E-05
13,0,-2,1.90629536744263,2.577906268672E-05
14,2,-2,1.97313628894924,2.94806899042264E-05
15,3,-2,1.98804340401326,2.60788235255138E-05
16,4,-2,1.91972142088636,2.6997811500745E-05
17,-3,-1,1.76108290649166,2.34454534639283E-05
18,-2,-1,1.86628853828621,2.47279871200133E-05
19,-1,-1,1.92816622056272,2.25960905733294E-05
20,0,-1,1.97145335982316,2.54741957870092E-05
21,1,-1,2.00495776657091,2.99476867099042E-05
22,2,-1,1.99646875968022,2.65539741847602E-05
23,3,-1,1.99373227708982,2.60291864037488E-05
24,4,-1,1.95569032623857,2.3414916182518E-05
25,-4,0,1.66157833694534,2.81627511382817E-05
26,-3,0,1.80325070684809,2.27472725042196E-05
27,-1,0,1.96887641524901,2.62326155426645E-05
28,0,0,2.05356775874849,2.47740201429248E-05
29,1,0,2.0245399264774,2.78907233941524E-05
30,3,0,1.97704829249551,2.15589628258692E-05
31,4,0,1.95716156269193,2.49056405768191E-05
32,-4,1,1.74193305447233,2.82177439224978E-05
33,-3,1,1.85752778954814,2.93212628024233E-05
34,-2,1,1.91644993842502,2.63422585575071E-05
35,-1,1,2.00626233960107,2.57015622390633E-05
36,0,1,2.00921306816072,3.04821799555411E-05
37,1,1,1.97575132598537,2.74789398039351E-05
38,2,1,1.96289769969819,2.66103465125807E-05
39,3,1,1.94856670540783,2.21330118581115E-05
40,-4,2,1.76363361767335,2.87881722481445E-05
41,-3,2,1.91363255633388,2.95483207283007E-05
42,-2,2,1.92591752131875,2.88223356111025E-05
43,0,2,1.95924061504093,2.52991603876797E-05
44,1,2,1.99060085452556,2.46714544943065E-05
45,2,2,1.93922192245361,2.41850650742972E-05
46,-4,3,1.80149379442437,2.84661361893414E-05
47,-3,3,1.86249391405934,3.08583419761991E-05
48,-2,3,1.85774898402447,2.80925209911569E-05
49,-1,3,1.88718978099423,2.18108984311348E-05
50,0,3,1.8987059064294,2.48303493228277E-05
51,1,3,1.85997433210991,2.4577780630517E-05
52,-4,4,1.78485764181137,2.73840870201529E-05
53,-3,4,1.82762472245647,2.99771521924953E-05
54,-2,4,1.79449850939558,2.73966653126111E-05
55,-1,4,1.78090883760709,2.28940350345656E-05
56,0,4,1.7658357847519,2.80056365943265E-05
