No.,x,y,Power (MW),std dev.
0,3,-8,1.28247344015181,3.21235154173172E-05
1,4,-8,1.26695507392823,3.03599156773593E-05
2,5,-8,1.29059077952542,2.96200735133166E-05
3,0,-7,1.37920062519543,3.53044685592528E-05
4,1,-7,1.47561989648663,2.87130319158029E-05
5,2,-7,1.46213569742274,3.47332235248471E-05
6,3,-7,1.42693849241583,3.01991815824811E-05
7,4,-7,1.41205725344951,3.04264927049157E-05
8,5,-7,1.45642939242599,3.04091314742416E-05
9,6,-7,1.52336046751196,3.16854795716708E-05
10,7,-7,1.41527468268617,2.8387457431201E-05
11,-1,-6,1.48828634842262,3.36592370263868E-05
12,0,-6,1.64344652627281,3.11123858880713E-05
13,1,-6,1.72432141135132,3.66846981428459E-05
14,3,-6,1.70878297487002,3.08441267304166E-05
15,5,-6,1.77775021201071,3.30185258568724E-05
16,6,-6,1.69767707922303,3.07809349109447E-05
17,7,-6,1.54993668474856,3.23736413318428E-05
18,-3,-5,1.24564693775301,2.43930984715861E-05
19,-2,-5,1.44064252480877,2.719228073486E-05
20,-1,-5,1.74854356283709,2.70547415862123E-05
21,0,-5,2.02494558413095,3.34414524222744E-05
22,1,-5,2.02439230522601,3.66925039232129E-05
23,2,-5,2.03624196254775,3.15542101793596E-05
24,3,-5,2.08587651645056,3.54519786409523E-05
25,4,-5,2.13378646232088,4.01085715606587E-05
26,5,-5,2.11821462888182,3.28818697437993E-05
27,6,-5,1.8046253705778,3.06844848600203E-05
28,7,-5,1.5010555322836,2.90144844850511E-05
29,8,-5,1.32931428788606,3.07950431301886E-05
30,-4,-4,1.16452207261577,2.21113136183976E-05
31,-3,-4,1.39363637640518,2.32012778493158E-05
32,-1,-4,1.990877391381,2.77476908665016E-05
33,5,-4,2.16239709009447,3.39867958814426E-05
34,7,-4,1.49619458267111,2.76845922637837E-05
35,8,-4,1.32760594047423,3.30027500626816E-05
36,-5,-3,1.19542296659525,2.79814768645201E-05
37,-4,-3,1.36267419172502,2.2053953476969E-05
